"Title","Subtitle","CELEX number","Current consolidated version","Latest consolidated version","LP_Legal basis","ELI","Form","EUROVOC descriptor","ECLI identifier","Subject matter","Directory code","Case-Law directory code (before Lisbon)","Case-Law directory code (after Lisbon)","Legal basis","Transposed legal act(s)","Rectified by","Type of procedure","Collection of the document","Date of document","Date of publication","Author","Date of effect","Date of end of validity","Date of transposition","Applicant/Appellant","Defendant/Other parties to the proceedings","In force indicator","Publication Reference",
"Decision (EU) 2017/684 of the European Parliament and of the Council of 5 April 2017 on establishing an information exchange mechanism with regard to intergovernmental agreements and non-binding instruments between Member States and third countries in the field of energy, and repealing Decision No 994/2012/EU (Text with EEA relevance. )","","32017D0684","","","","http://data.europa.eu/eli/dec/2017/684/oj","Decision","intergovernmental cooperation (EU), exchange of information, EU Member State, single market, international agreement, third country, energy supply, self-sufficiency in energy, energy cooperation","","Energy","Energy, General principles and programmes, General","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E194","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2017-04-05","2017-04-12","European Parliament, Council of the European Union","2017-05-02","No end date","","","","true","OJ L 99, 12/04/2017, p. 1–9
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Decision (Euratom) 2023/1112 of 17 July 2020 on the notification of changes to the Euratom delineated peaceful nuclear programme in Annex A to the Agreement for cooperation in the peaceful uses of nuclear energy between the European Atomic Energy Community and the United States of America","C/2020/4674","32023D1112","","","","http://data.europa.eu/eli/dec/2023/1112/oj","Decision","revision of an agreement, nuclear energy, EAEC, peaceful use of energy, scientific cooperation, cooperation agreement (EU), United States, nuclear research","","External relations, Cooperation","Energy, External relations, Energy, Nuclear energy, Bilateral agreements with non-member countries, Nuclear energy, Other measures relating to nuclear energy, North America, Nuclear research","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:21996A0520(01), https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016A077","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2020-07-17","2023-06-07","Directorate-General for Energy, European Commission","2023-06-27","No end date","","","","true","OJ L 147, 07/06/2023, p. 156–157
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Decision of 13 January 2023 establishing the ad hoc Steering Board to facilitate the coordination of demand aggregation and joint purchasing of gas 2023/C 48/05","C/2023/407","32023D0208(02)","","","","","Decision","security of supply, energy market, purchase, natural gas, operation of the Institutions, gas supply, energy cooperation, EU energy policy, energy crisis","","Provisions governing the Institutions, Energy","Energy, Energy, Oil and gas, Oil and gas, Supplies and stocks, Other measures relating to oil or gas","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32022R2576","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2023-01-13","2023-02-08","Directorate-General for Energy, European Commission","2023-02-28","No end date","","","","true","OJ C 48, 08/02/2023, p. 6–10
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Council Decision (Euratom) 2023/225 of 30 January 2023 on the extension of the joint-undertaking status of Hochtemperatur-Kernkraftwerk GmbH","ST/5101/2023/INIT","32023D0225","","","","http://data.europa.eu/eli/dec/2023/225/oj","Decision","nuclear power station, nuclear safety, Germany, North Rhine-Westphalia, decommissioning of power stations, EAEC Joint Undertaking","","Joint undertakings, Nuclear common market","Energy, Nuclear energy, Power stations and joint undertakings","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016A049","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2023-01-30","2023-02-03","Council of the European Union","2023-02-06","No end date","","","","true","OJ L 32, 03/02/2023, p. 51–52
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Council Decision (Euratom) 2023/226 of 30 January 2023 on the extension of the advantages conferred on the joint undertaking Hochtemperatur-Kernkraftwerk GmbH","ST/5102/2023/INIT","32023D0226","","","","http://data.europa.eu/eli/dec/2023/226/oj","Decision","nuclear power station, nuclear safety, North Rhine-Westphalia, decommissioning of power stations, Germany, EAEC Joint Undertaking","","Joint undertakings, Nuclear common market","Energy, Nuclear energy, Power stations and joint undertakings","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016A048","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2023-01-30","2023-02-03","Council of the European Union","2023-02-06","No end date","","","","true","OJ L 32, 03/02/2023, p. 53–55
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Council Decision (EU) 2022/1842 of 20 September 2022 on the position to be taken on behalf of the European Union within the Ministerial Council of the Energy Community with regard to the incorporation of Regulation (EU) 2022/1032 of the European Parliament and of the Council on gas storage into the Energy Community acquis","ST/12060/2022/INIT","32022D1842","","","","http://data.europa.eu/eli/dec/2022/1842/oj","Decision","natural gas, storage of hydrocarbons, strategic reserves, Energy Community, security of supply, international organisation, self-sufficiency in energy, gas supply, energy cooperation, EU energy policy","","Energy, External relations","Energy, External relations, Oil and gas, Multilateral relations, Supplies and stocks, Other spheres of multilateral cooperation","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:22006A0720(01), https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E194, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E218, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32006D0500","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2022-09-20","2022-10-03","Council of the European Union","2022-09-20","No end date","","","","true","OJ L 254, 03/10/2022, p. 43–55
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Decision (EU) 2022/589 of 6 April 2022 establishing the composition and the operational provisions of setting up the Commission Energy Poverty and Vulnerable Consumers Coordination Group","C/2022/2082","32022D0589","","","","http://data.europa.eu/eli/dec/2022/589/oj","Decision","energy cooperation, energy supply, price of energy, energy consumption, expert group (EU), household, consumer protection, aid to disadvantaged groups, energy efficiency, poverty","","Energy","Energy, General principles and programmes","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E194, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E168","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2022-04-06","2022-04-11","European Commission, Directorate-General for Energy","2022-05-01","No end date","","","","true","OJ L 112, 11/04/2022, p. 67–72
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Decision (EU) 2022/258 of 21 February 2022 granting the Hellenic Republic a derogation from certain provisions of Regulation (EU) 2019/943 of the European Parliament and of the Council and Directive (EU) 2019/944 of the European Parliament and of the Council as regards Crete (notified under document C(2022) 1140) (Only the Greek text is authentic) (Text with EEA relevance)","C/2022/1140","32022D0258","","","","http://data.europa.eu/eli/dec/2022/258/oj","Decision","energy supply, derogation from EU law, electricity supply, energy distribution, Greece, electrical energy, renewable energy, security of supply, energy production, energy grid, Crete","","Energy, Internal market - Principles","Energy, Electricity","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32019R0943, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32019L0944","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2022-02-21","2022-02-23","European Commission, Directorate-General for Energy","2022-02-23","Not known","","","","true","OJ L 42, 23/02/2022, p. 92–101
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Council Decision (EU) 2021/1919 of 29 October 2021 on the position to be taken on behalf of the European Union on the adoption of a decision, by written procedure, by the Participants to the Arrangement on Officially Supported Export Credits to review the Coal-Fired Electricity Generation Sector Understanding contained in Annex VI to that Arrangement","ST/12622/2021/INIT","32021D1919","","","","http://data.europa.eu/eli/dec/2021/1919/oj","Decision","electrical energy, State aid, carbon neutrality, energy production, sectoral agreement, export credit, OECD, export aid, revision of an agreement, power plant","","External relations, Energy","External relations, External relations, Energy, Commercial policy, Multilateral relations, Electricity, Trade arrangements, Other spheres of multilateral cooperation, Export guarantees and financing","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E218, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E207","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2021-10-29","2021-11-04","Council of the European Union","2021-10-29","No end date","","","","true","OJ L 389, 04/11/2021, p. 21–22
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Decision (Euratom) 2021/1802 of 10 June 2021 pursuant to Article 83 of the Treaty establishing the European Atomic Energy Community – A summary of the key provisions of the Decision are set out below, without prejudice to the full effect of the Decision itself (notified under document number C(2021) 3889)","PUB/2021/762","32021D1802","","","","http://data.europa.eu/eli/dec/2021/1802/oj","Decision","EAEC, radioactive materials, exchange of information, report, nuclear safety, nuclear research, research body, Portugal, accounting system, infringement of EU law","","Nuclear common market","Energy, Nuclear energy, Safeguards","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016A083","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2021-06-10","2021-10-12","Directorate-General for Energy, European Commission","2021-10-12","No end date","","","","true","OJ L 362, 12/10/2021, p. 1–2
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
