"Title","Subtitle","CELEX number","Current consolidated version","Latest consolidated version","LP_Legal basis","ELI","Form","EUROVOC descriptor","ECLI identifier","Subject matter","Directory code","Case-Law directory code (before Lisbon)","Case-Law directory code (after Lisbon)","Legal basis","Transposed legal act(s)","Rectified by","Type of procedure","Collection of the document","Date of document","Date of publication","Author","Date of effect","Date of end of validity","Date of transposition","Applicant/Appellant","Defendant/Other parties to the proceedings","In force indicator","Publication Reference",
"Commission Implementing Decision (EU) 2023/2199 of 17 October 2023 granting derogations to certain Member States as regards the provision of statistics pursuant to Regulation (EC) No 1099/2008 of the European Parliament and of the Council on energy statistics (notified under document C(2023)6856)","C/2023/6856","32023D2199","","","","http://data.europa.eu/eli/dec_impl/2023/2199/oj","Implementing decision","EU energy policy, energy statistics, statistical method, energy production, data processing, EU statistics, EU Member State, energy consumption","","Energy","Energy, Statistics","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32008R1099","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2023-10-17","2023-10-19","European Commission, Eurostat","2023-10-19","No end date","","","","true","OJ L, 2023/2199,  19.10.2023, ELI: http://data.europa.eu/eli/dec_impl/2023/2199/oj
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Implementing Decision (EU) 2023/1978 of 21 September 2023 on the applicability of Article 34 of Directive 2014/25/EU of the European Parliament and of the Council to the award of contracts for the activities related to the generation and wholesale of electricity from renewable sources in Germany, with the exception of electricity from renewable sources generated in installations that went into operation before 1 August 2014 and still receive public funding and activities related to the generation and wholesale of electricity from offshore wind farms commissioned after 1 January 2012 and subject to the 2012 Renewable Energy Sources Act (Erneuerbare-Energien-Gesetz) in Germany (notified under document C(2023) 6271) (Only the German text is authentic) (Text with EEA relevance)","C/2023/6271","32023D1978","","","","http://data.europa.eu/eli/dec_impl/2023/1978/oj","Implementing decision","award of contract, renewable energy, Germany, energy production, electrical energy, wholesale trade, public procurement, offshore wind energy production","","Energy, Public procurement in the European Union","Energy, Right of establishment and freedom to provide services, Electricity, Public contracts, General","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32014L0025","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2023-09-21","2023-09-25","European Commission, Directorate-General for Internal Market, Industry, Entrepreneurship and SMEs","2023-09-25","No end date","","","","true","OJ L 235, 25/09/2023, p. 13–22
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Implementing Decision (EU) 2023/1760 of 11 September 2023 on the recognition of the report including information on the typical greenhouse gas emissions from the cultivation of canola oilseed (rapeseed) in Australia under Article 31(3) and (4) of Directive (EU) 2018/2001 of the European Parliament and of the Council","C/2023/6012","32023D1760","","","","http://data.europa.eu/eli/dec_impl/2023/1760/oj","Implementing decision","renewable resources, environmental standard, production standard, reduction of gas emissions, Australia, greenhouse gas, crop production, oil seed rape, environmental cooperation, exchange of information","","Environment, Energy","Energy, Environment, consumers and health protection, Other sources of energy, Environment, Pollution and nuisances, Monitoring of atmospheric pollution","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32018L2001","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2023-09-11","2023-09-12","European Commission, Directorate-General for Energy","2023-10-02","2028-10-02","","","","true","OJ L 224, 12/09/2023, p. 105–107
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Implementing Decision (EU) 2022/2461 of 14 December 2022 recognising the ‘KZR INiG’ scheme for demonstrating compliance with the requirements set out in Directive (EU) 2018/2001 of the European Parliament and of the Council as regards biofuels, bioliquids, biomass fuels, renewable liquid and gaseous fuels of non-biological origin and recycled carbon fuels and repealing Commission Implementing Decision (EU) 2022/603 (Text with EEA relevance)","C/2022/9178","32022D2461","","","","http://data.europa.eu/eli/dec_impl/2022/2461/oj","Implementing decision","reduction of gas emissions, production standard, environmental standard, recycled product, renewable resources, road transport, greenhouse gas, sustainable product, exchange of information, biofuel","","Environment, Energy","Energy, Environment, consumers and health protection, Other sources of energy, Environment, Pollution and nuisances, Monitoring of atmospheric pollution","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32018L2001","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2022-12-14","2022-12-15","European Commission, Directorate-General for Energy","2022-12-16","2027-12-16","","","","true","OJ L 321, 15/12/2022, p. 38–41
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Implementing Decision (EU) 2022/1655 of 26 September 2022 recognising the report including information on the typical greenhouse gas emissions from the cultivation of soybean in Argentina under Article 31(3) and (4) of Directive (EU) 2018/2001 of the European Parliament and of the Council","C/2022/6762","32022D1655","","","","http://data.europa.eu/eli/dec_impl/2022/1655/oj","Implementing decision","soya bean, greenhouse gas, environmental standard, production standard, reduction of gas emissions, renewable resources, exchange of information, environmental cooperation, crop production, Argentina","","Environment, Energy","Environment, consumers and health protection, Energy, Environment, Other sources of energy, Pollution and nuisances, Monitoring of atmospheric pollution","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32018L2001","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2022-09-26","2022-09-27","European Commission, Directorate-General for Energy","2022-10-17","2027-10-17","","","","true","OJ L 249, 27/09/2022, p. 47–49
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Implementing Decision (EU) 2022/1657 of 26 September 2022 on the recognition of the Sustainable Biomass Program voluntary scheme for demonstrating compliance with the requirements of Directive (EU) 2018/2001 of the European Parliament and of the Council for biofuels, bioliquids, biomass fuels, renewable liquid and gaseous fuels of non-biological origin and recycled carbon fuels (Text with EEA relevance)","C/2022/6713","32022D1657","","","","http://data.europa.eu/eli/dec_impl/2022/1657/oj","Implementing decision","renewable resources, recycled product, environmental standard, production standard, reduction of gas emissions, greenhouse gas, road transport, sustainable product, exchange of information, biofuel","","Environment, Energy","Energy, Environment, consumers and health protection, Other sources of energy, Environment, Pollution and nuisances, Monitoring of atmospheric pollution","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32018L2001","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2022-09-26","2022-09-27","European Commission, Directorate-General for Energy","2022-09-28","2027-09-28","","","","true","OJ L 249, 27/09/2022, p. 53–55
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Implementing Decision (EU) 2022/1656 of 26 September 2022 on recognition of the Austrian agricultural certification scheme (AACS) for demonstrating compliance with the requirements set in Directive (EU) 2018/2001 of the European Parliament and of the Council for biofuels, bioliquids, biomass fuels, renewable liquid and gaseous fuels of non-biological origin and recycled carbon fuels (Text with EEA relevance)","C/2022/6712","32022D1656","","","","http://data.europa.eu/eli/dec_impl/2022/1656/oj","Implementing decision","renewable resources, environmental standard, reduction of gas emissions, production standard, recycled product, road transport, greenhouse gas, sustainable product, biofuel, Austria","","Environment, Energy","Energy, Environment, consumers and health protection, Other sources of energy, Environment, Pollution and nuisances, Monitoring of atmospheric pollution","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32018L2001","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2022-09-26","2022-09-27","European Commission, Directorate-General for Energy","2022-10-17","2027-10-17","","","","true","OJ L 249, 27/09/2022, p. 50–52
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Implementing Decision (EU) 2022/1376 of 26 July 2022 on the applicability of Article 34 of Directive 2014/25/EU of the European Parliament and of the Council to electricity generation and wholesale in Denmark (notified under document C(2022) 5046) (Only the Danish text is authentic) (Text with EEA relevance)","C/2022/5046","32022D1376","","","","http://data.europa.eu/eli/dec_impl/2022/1376/oj","Implementing decision","electrical energy, wholesale trade, electricity supply, Denmark, market access, derogation from EU law, energy production, renewable energy, award of contract","","Public procurement in the European Union, Energy","Right of establishment and freedom to provide services, Energy, Public contracts, Electricity, General","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32014L0025","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2022-07-26","2022-08-08","European Commission, Directorate-General for Internal Market, Industry, Entrepreneurship and SMEs","2022-08-08","No end date","","","","true","OJ L 206, 08/08/2022, p. 42–50
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Implementing Decision (EU) 2022/1296 of 1 July 2022 on the applicability of Article 34 of Directive 2014/25/EU of the European Parliament and of the Council to the award of contracts to pursue the extraction of crude oil and natural gas in Romania (notified under document C(2022) 4485) (Only the Romanian text is the authentic) (Text with EEA relevance)","C/2022/4485","32022D1296","","","","http://data.europa.eu/eli/dec_impl/2022/1296/oj","Implementing decision","extraction of oil, Romania, award of contract, crude oil, natural gas","","Public procurement in the European Union, Energy","Right of establishment and freedom to provide services, Energy, Public contracts, Oil and gas, General","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32014L0025","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2022-07-01","2022-07-25","European Commission, Directorate-General for Internal Market, Industry, Entrepreneurship and SMEs","2022-07-25","No end date","","","","true","OJ L 196, 25/07/2022, p. 126–133
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Implementing Decision (EU) 2022/1286 of 15 July 2022 on the applicability of Article 34 of Directive 2014/25/EU of the European Parliament and of the Council to the award of contracts to pursue the retail supply of electricity and gas to small customers in the Netherlands (notified under document C(2022) 4872) (Only the Dutch text is authentic) (Text with EEA relevance)","C/2022/4872","32022D1286","","","","http://data.europa.eu/eli/dec_impl/2022/1286/oj","Implementing decision","natural gas, retail trade, award of contract, Netherlands, electricity supply, gas supply, domestic market, electrical energy","","Energy, Public procurement in the European Union","Energy, Energy, Right of establishment and freedom to provide services, Electricity, Oil and gas, Public contracts, Supplies and stocks, General","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32014L0025","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2022-07-15","2022-07-22","Directorate-General for Internal Market, Industry, Entrepreneurship and SMEs, European Commission","2022-07-22","No end date","","","","true","OJ L 195, 22/07/2022, p. 95–103
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
