"Title","Subtitle","CELEX number","Current consolidated version","Latest consolidated version","LP_Legal basis","ELI","Form","EUROVOC descriptor","ECLI identifier","Subject matter","Directory code","Case-Law directory code (before Lisbon)","Case-Law directory code (after Lisbon)","Legal basis","Transposed legal act(s)","Rectified by","Type of procedure","Collection of the document","Date of document","Date of publication","Author","Date of effect","Date of end of validity","Date of transposition","Applicant/Appellant","Defendant/Other parties to the proceedings","In force indicator","Publication Reference",
"Agreement between the Government of the United Kingdom of Great Britain and Northern Ireland and the European Atomic Energy Community for Cooperation on the Safe and Peaceful Uses of Nuclear Energy","This is the authentic and definitive text of the agreement which replaces ab initio 22020A1231(04).","22021A0430(04)","","","","http://data.europa.eu/eli/agree_internation/2020/2255/oj","International agreement","nuclear safety, United Kingdom, withdrawal from the EU, peaceful use of energy, nuclear policy, agreement (EU)","","External relations, Cooperation","Energy, External relations, Nuclear energy, Bilateral agreements with non-member countries, Other measures relating to nuclear energy, European countries","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016A101","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, INTER_AGREE","2020-12-30","2021-04-30","European Atomic Energy Community, United Kingdom","1001-01-01, 2021-01-01","Not known","","","","true","OJ L 150, 30/04/2021, p. 1–18
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Agreement between the Government of the Republic of South Africa and the European Atomic Energy Community (Euratom) for Cooperation in the Peaceful Uses of Nuclear Energy","","22013A0731(01)","","","","http://data.europa.eu/eli/agree_internation/2013/408/oj","International agreement","nuclear research, scientific cooperation, energy cooperation, peaceful use of energy, nuclear energy, South Africa","","Energy, External relations","Energy, External relations, Nuclear energy, Bilateral agreements with non-member countries, Other measures relating to nuclear energy, African, Caribbean and Pacific (ACP) Group of States","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12012A101","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, INTER_AGREE","2013-07-18","2013-07-31, 2014-11-11","European Atomic Energy Community, South Africa","2021-09-09","Not known","","","","true","OJ L 204, 31/07/2013, p. 3–10
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",
"Agreement between the Government of Australia and the European Atomic Energy Community (Euratom) for cooperation in the peaceful uses of nuclear energy","","22012A0201(01)","","","","http://data.europa.eu/eli/agree_internation/2012/55/oj","International agreement","international cooperation, nuclear safety, nuclear technology, nuclear non-proliferation, Australia, nuclear energy, peaceful use of energy, cooperation agreement (EU)","","External relations, Energy, Nuclear common market","Energy, External relations, Nuclear energy, Bilateral agreements with non-member countries, Oceanian countries","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12010A101","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, INTER_AGREE","2011-09-05","2012-02-01, 2014-09-09","Australia, European Atomic Energy Community","2012-01-01","Not known","","","","true","OJ L 29, 01/02/2012, p. 4–12
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",
"Agreement for co-operation in the peaceful uses of nuclear energy between the European Atomic Energy Community and the Government of the Republic of Kazakhstan","","22009A0115(01)","","","","http://data.europa.eu/eli/agree_internation/2009/25/oj","International agreement","nuclear energy, peaceful use of energy, cooperation agreement (EU), EAEC, nuclear research, Kazakhstan","","Nuclear common market, External relations, Cooperation","External relations, Energy, Bilateral agreements with non-member countries, Nuclear energy, Asian countries, Nuclear research","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957A101","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, INTER_AGREE","2006-12-05","2009-01-15, 2014-09-09","Kazakhstan, European Atomic Energy Community","2008-09-01","Not known","","","","true","OJ L 10, 15/01/2009, p. 16–21
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",
"Agreement between the European Atomic Energy Community and the Government of Japan for the Joint Implementation of the Broader Approach Activities in the Field of Fusion Energy Research","","22007A0921(01)","","","","http://data.europa.eu/eli/agree_internation/2007/614/oj","International agreement","nuclear research, cooperation agreement (EU), nuclear fusion, EAEC, peaceful use of energy, Japan","","Nuclear common market, External relations","Energy, External relations, Nuclear energy, Bilateral agreements with non-member countries, Nuclear research, Asian countries","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957A101","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, INTER_AGREE","2007-02-05","2007-09-21, 2014-08-26","European Atomic Energy Community, Japan","2007-06-01","No end date","","","","true","OJ L 246, 21/09/2007, p. 34–46
