,CELEX number,Category
0,21959A1006(01),"search-results-emailed.csv, international-agreement.csv"
1,21959A1006(02),search-results-emailed.csv
2,21961A0126(01),"search-results-emailed.csv, international-agreement.csv"
3,21975A1201(01),"search-results-emailed.csv, international-agreement.csv"
4,21978A0116(01),"search-results-emailed.csv, exchange-of-letters.csv, amendment-to-an-agreement.csv"
5,21981A1218(05),"search-results-emailed.csv, international-agreement.csv"
6,21985A0731(06),"search-results-emailed.csv, international-agreement.csv"
7,21989A0228(01),"search-results-emailed.csv, international-agreement.csv"
8,21994A0803(01),"search-results-emailed.csv, international-agreement.csv"
9,21994A1231(51),"search-results-emailed.csv, international-agreement.csv"
10,21994A1231(52),"search-results-emailed.csv, international-agreement.csv"
11,21994A1231(53),"protocol-to-the-agreement.csv, search-results-emailed.csv"
12,21995A0906(02),"search-results-emailed.csv, international-agreement.csv"
13,21996A0520(01),"search-results-emailed.csv, international-agreement.csv"
14,21997A1030(01),"search-results-emailed.csv, international-agreement.csv"
15,21998A0912(01),"search-results-emailed.csv, international-agreement.csv"
16,21998A1222(01),"search-results-emailed.csv, international-agreement.csv"
17,21999A0116(01),"search-results-emailed.csv, international-agreement.csv"
18,22001A0601(01),"search-results-emailed.csv, international-agreement.csv"
19,22002A1127(01),"search-results-emailed.csv, international-agreement.csv"
20,22002A1127(02),"search-results-emailed.csv, international-agreement.csv"
21,22003A0624(01),"search-results-emailed.csv, international-agreement.csv"
22,22003A0624(02),"protocol-to-the-agreement.csv, search-results-emailed.csv"
23,22003A1021(01),"search-results-emailed.csv, international-agreement.csv"
24,22005A0607(01),"search-results-emailed.csv, international-agreement.csv"
25,22006A0720(01),"search-results-emailed.csv, international-agreement.csv"
26,22006A0922(01),"search-results-emailed.csv, international-agreement.csv"
27,22006A1216(03),"search-results-emailed.csv, international-agreement.csv"
28,22006A1216(04),"agreement.csv, arrangement.csv, search-results-emailed.csv"
29,22006A1216(05),"search-results-emailed.csv, international-agreement.csv"
30,22007A0206(01),"search-results-emailed.csv, international-agreement.csv"
31,22007A0921(01),"search-results-emailed.csv, international-agreement.csv"
32,22008A0208(01),"convention.csv, search-results-emailed.csv"
33,22009A0115(01),"search-results-emailed.csv, international-agreement.csv"
34,22012A0201(01),"search-results-emailed.csv, international-agreement.csv"
35,22013A0731(01),"search-results-emailed.csv, international-agreement.csv"
36,22020A1231(05),search-results-emailed.csv
37,22021A0430(04),"search-results-emailed.csv, international-agreement.csv"
38,31953D0030,search-results-emailed.csv
39,31958R0003(01),"regulation.csv, search-results-emailed.csv"
40,31960D0511,"search-results-emailed.csv, decision.csv"
41,31960R0009(01),"regulation.csv, search-results-emailed.csv"
42,31961D1009,"search-results-emailed.csv, decision.csv"
43,31963R0007,"regulation.csv, search-results-emailed.csv"
44,31964D0014,search-results-emailed.csv
45,31966S0022,search-results-emailed.csv
46,31971G0055,"resolution.csv, search-results-emailed.csv"
47,31972D0443,search-results-emailed.csv
48,31972Y1011(01),"resolution.csv, search-results-emailed.csv"
49,31972Y1201(03),"communication.csv, search-results-emailed.csv"
50,31973Y1127(01),"resolution.csv, search-results-emailed.csv"
51,31974D0296,search-results-emailed.csv
52,31974Y0614(01),"resolution.csv, search-results-emailed.csv"
53,31975D0328,search-results-emailed.csv
54,31975D0329,search-results-emailed.csv
55,31975D0782,"search-results-emailed.csv, decision.csv"
56,31975Y0709(01),"resolution.csv, search-results-emailed.csv"
57,31975Y0709(02),"resolution.csv, search-results-emailed.csv"
58,31975Y0709(03),"resolution.csv, search-results-emailed.csv"
59,31975Y0709(04),"resolution.csv, search-results-emailed.csv"
60,31975Y0725(02),"resolution.csv, search-results-emailed.csv"
61,31975Y0814(01),"resolution.csv, search-results-emailed.csv"
62,31975Y1217(01),"resolution.csv, search-results-emailed.csv"
63,31976H0492,"search-results-emailed.csv, recommendation.csv"
64,31976H0495,"search-results-emailed.csv, recommendation.csv"
65,31977D0270,"search-results-emailed.csv, decision.csv"
66,31977D0271,"search-results-emailed.csv, decision.csv"
67,31977D0621,search-results-emailed.csv
68,31977D0622,search-results-emailed.csv
69,31977D0623,search-results-emailed.csv
70,31977D0624,search-results-emailed.csv
71,31977H0713,"search-results-emailed.csv, recommendation.csv"
72,31977H0714,"search-results-emailed.csv, recommendation.csv"
73,31977Y0811(01),"resolution.csv, search-results-emailed.csv"
74,31978D0295,search-results-emailed.csv
75,31978D0296,search-results-emailed.csv
76,31978D0297,search-results-emailed.csv
77,31978D0298,search-results-emailed.csv
78,31978Y1130(01),"resolution.csv, search-results-emailed.csv"
79,31979D0022,search-results-emailed.csv
80,31979D0023,search-results-emailed.csv
81,31979D0024,search-results-emailed.csv
82,31979D0025,search-results-emailed.csv
83,31980D1279,search-results-emailed.csv
84,31980D1280,search-results-emailed.csv
85,31980D1281,search-results-emailed.csv
86,31980D1282,search-results-emailed.csv
87,31980Y0229(04),"resolution.csv, search-results-emailed.csv"
88,31980Y0618(02),"resolution.csv, search-results-emailed.csv"
89,31981D0646,search-results-emailed.csv
90,31981D0647,search-results-emailed.csv
91,31981D0648,search-results-emailed.csv
92,31981D0649,search-results-emailed.csv
93,31981D0717,search-results-emailed.csv
94,31982D0304,search-results-emailed.csv
95,31982D0305,search-results-emailed.csv
96,31982D0306,search-results-emailed.csv
97,31982D0307,search-results-emailed.csv
98,31983H0230,"search-results-emailed.csv, recommendation.csv"
99,31983H0250,"search-results-emailed.csv, recommendation.csv"
100,31983H0251,"search-results-emailed.csv, recommendation.csv"
101,31983R0625,"regulation.csv, search-results-emailed.csv"
102,31983Y0716(02),"resolution.csv, search-results-emailed.csv"
103,31984D0454,search-results-emailed.csv
