,Title,Subtitle,CELEX number,Current consolidated version,Latest consolidated version,LP_Legal basis,ELI,Form,EUROVOC descriptor,ECLI identifier,Subject matter,Directory code,Case-Law directory code (before Lisbon),Case-Law directory code (after Lisbon),Legal basis,Transposed legal act(s),Rectified by,Type of procedure,Collection of the document,Date of document,Date of publication,Author,Date of effect,Date of end of validity,Date of transposition,Applicant/Appellant,Defendant/Other parties to the proceedings,In force indicator,Publication Reference,Unnamed: 29,Unnamed: 6
0,Directive (EU) 2023/1791 of the European Parliament and of the Council of 13 September 2023 on energy efficiency and amending Regulation (EU) 2023/955 (recast) (Text with EEA relevance),PE/15/2023/INIT,32023L1791,,,,http://data.europa.eu/eli/dir/2023/1791/oj,Directive,"EU energy policy, energy saving, adaptation to climate change, energy use, energy supply, security of supply, reduction of gas emissions, energy consumption, energy efficiency",,"Environment, Energy","Energy, General principles and programmes, Rational utilisation and conservation of energy",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E194,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",2023-09-13,2023-09-20,"European Parliament, Council of the European Union","2023-10-10, 2024-06-30, 2025-10-12",No end date,"2024-01-11, 2025-10-11, 2024-02-01, 2024-12-31, 2024-05-15",,,True,"OJ L 231, 20/09/2023, p. 1–111
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",,
1,Directive (EU) 2019/944 of the European Parliament and of the Council of 5 June 2019 on common rules for the internal market for electricity and amending Directive 2012/27/EU (recast) (Text with EEA relevance.),PE/10/2019/REV/1,32019L0944,2022-06-23,2022-06-23,,http://data.europa.eu/eli/dir/2019/944/oj,Directive,"security of supply, consumer, energy efficiency, renewable energy, price of energy, EU Member State, single market, electricity supply, electrical energy",,"Protocol on Ireland/Northern Ireland, Energy, Annex 4 Provisions of Union law referred to in Article 9","Energy, Electricity",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016E194,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",2019-06-05,2019-06-14,"European Parliament, Council of the European Union","2020-01-01, 2021-01-01, 2020-10-26, 2019-07-04","No end date, 2025-10-11","2020-10-25, 2020-12-31, 2019-12-31",,,True,"OJ L 158, 14/06/2019, p. 125–199
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",,
2,"Directive 2012/27/EU of the European Parliament and of the Council of 25 October 2012 on energy efficiency, amending Directives 2009/125/EC and 2010/30/EU and repealing Directives 2004/8/EC and 2006/32/EC  Text with EEA relevance",,32012L0027,2023-05-04,2023-05-04,,http://data.europa.eu/eli/dir/2012/27/oj,Directive,"energy consumption, energy saving, energy use, energy efficiency",,Energy,"Energy, General principles and programmes, Rational utilisation and conservation of energy",,,"https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12010E294, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12010E194",,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",2012-10-25,"2012-11-14, 2013-05-24","Council of the European Union, European Parliament",2012-12-04,2025-10-11,2014-06-05,,,True,"OJ L 315, 14/11/2012, p. 1–56
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",,
3,Directive 2010/31/EU of the European Parliament and of the Council of 19 May 2010 on the energy performance of buildings (recast),,32010L0031,2021-01-01,2021-01-01,,http://data.europa.eu/eli/dir/2010/31/oj,Directive,"thermal insulation, energy consumption, environmental standard, air conditioning, energy saving, heating, building",,"Environment, Energy","Energy, Environment, consumers and health protection, General principles and programmes, Environment, Rational utilisation and conservation of energy, Pollution and nuisances, Monitoring of atmospheric pollution",,,"https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12010E194, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12010E294",,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",2010-05-19,"2010-06-18, 2012-10-20","European Parliament, Council of the European Union",2010-07-08,No end date,2012-07-09,,,True,"OJ L 153, 18/06/2010, p. 13–35
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",,
4,Directive 2009/126/EC of the European Parliament and of the Council of 21 October 2009 on Stage II petrol vapour recovery during refuelling of motor vehicles at service stations,,32009L0126,2019-07-26,2019-07-26,,http://data.europa.eu/eli/dir/2009/126/oj,Directive,"technical regulations, petrol, supply, motor vehicle, energy distribution, reduction of gas emissions, atmospheric pollutant, national implementing measure",,"Internal market - Principles, Environment, Approximation of laws","Energy, Environment, consumers and health protection, Oil and gas, Environment, Other measures relating to oil or gas, Pollution and nuisances, Monitoring of atmospheric pollution",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12006E175,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",2009-10-21,"2009-10-31, 2012-05-16","European Parliament, Council of the European Union",2009-10-31,No end date,,,,True,"OJ L 285, 31/10/2009, p. 36–39
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",,
5,Directive 2009/125/EC of the European Parliament and of the Council of 21 October 2009 establishing a framework for the setting of ecodesign requirements for energy-related products (recast) (Text with EEA relevance),,32009L0125,2012-12-04,2012-12-04,,http://data.europa.eu/eli/dir/2009/125/oj,Directive,"energy saving, marketing, EC conformity marking, approximation of laws, energy consumption, environmental impact",,"Environment, Approximation of laws, Energy, Protocol on Ireland/Northern Ireland, Annex 2 Provisions of Union law referred to in Article 5(4), Environment, energy efficiency","Industrial policy and internal market, Energy, Internal market: approximation of laws, General principles and programmes, Other sectors for approximation of laws, Rational utilisation and conservation of energy",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12006E095,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",2009-10-21,"2009-10-31, 2013-01-24","Council of the European Union, European Parliament",2009-11-20,No end date,2010-11-20,,,True,"OJ L 285, 31/10/2009, p. 10–35
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV), This document has been published in a special edition(s) (
           		HR)
		",,
6,Directive 2000/84/EC of the European Parliament and of the Council of 19 January 2001 on summer-time arrangements,,32000L0084,,,,http://data.europa.eu/eli/dir/2000/84/oj,Directive,"communications policy, common transport policy, industrial policy, approximation of laws, summertime, EU policy",,"Approximation of laws, Internal market - Principles","Energy, General principles and programmes, Rational utilisation and conservation of energy",,,"https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11997E251, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11997E095",,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",2001-01-19,"2001-02-02, 2007-01-01, 2004-05-01, 2012-09-14","European Parliament, Council of the European Union",2001-02-02,No end date,,,,True,"OJ L 31, 02/02/2001, p. 21–22
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV), This document has been published in a special edition(s) (
           		CS, ET, LV, LT, HU, MT, PL, SK, SL, BG, RO, HR)
		",,
7,European Parliament and Council Directive 94/63/EC of 20 December 1994 on the control of volatile organic compound (VOC) emissions resulting from the storage of petrol and its distribution from terminals to service stations,,31994L0063,2019-07-26,2019-07-26,,http://data.europa.eu/eli/dir/1994/63/oj,Directive,"technical standard, land transport, safety standard, organic chemical, maritime transport, petrol, transport of dangerous goods, storage of hydrocarbons, air quality, prevention of pollution",,"Approximation of laws, Energy, Internal market - Principles, Environment","Energy, Environment, consumers and health protection, Oil and gas, Environment, Other measures relating to oil or gas, Pollution and nuisances, Monitoring of atmospheric pollution",,,"https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11992E189B, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11992E100A",,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",1994-12-20,"1994-12-31, 2012-05-16, 2004-05-01, 2007-01-01, 1995-01-01","European Parliament, Council of the European Union",1995-01-20,No end date,1995-12-31,,,True,"OJ L 365, 31/12/1994, p. 24–33
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT), This document has been published in a special edition(s) (
           		FI, SV, CS, ET, LV, LT, HU, MT, PL, SK, SL, BG, RO, HR)
		",,
8,"Directive 94/22/EC of the European Parliament and of the Council of 30 May 1994 on the conditions for granting and using authorizations for the prospection, exploration and production of hydrocarbons",,31994L0022,2018-12-24,2018-12-24,,http://data.europa.eu/eli/dir/1994/22/oj,Directive,"energy site, exploitation of resources, energy supply, management of resources, hydrocarbon, security of supply",,"Freedom of establishment, Energy, Approximation of laws, Internal market - Principles","Energy, Right of establishment and freedom to provide services, Oil and gas, Sectoral application, Other measures relating to oil or gas, Production and processing activities, Other production and processing activities",,,"https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11992E189B, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11992E100A, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11992E057, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11992E066",,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",1994-05-30,"1994-06-30, 2012-05-31, 2004-05-01, 1995-01-01, 2007-01-01","Council of the European Union, European Parliament",1994-06-30,"1993-06-30, No end date",1995-07-01,,,True,"OJ L 164, 30/06/1994, p. 3–8
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT), This document has been published in a special edition(s) (
           		FI, SV, CS, ET, LV, LT, HU, MT, PL, SK, SL, BG, RO, HR)
		",,
9,Council Directive (EU) 2015/652 of 20 April 2015 laying down calculation methods and reporting requirements pursuant to Directive 98/70/EC of the European Parliament and of the Council relating to the quality of petrol and diesel fuels,,32015L0652,2018-12-24,2018-12-24,,http://data.europa.eu/eli/dir/2015/652/oj,Directive,"petrol, diesel fuel, approximation of laws, reduction of gas emissions, environmental standard, qualitative analysis, quality standard",,"Energy, Protocol on Ireland/Northern Ireland, Approximation of laws, Annex 2 Provisions of Union law referred to in Article 5(4), Environment, energy efficiency","Environment, consumers and health protection, Energy, Environment, Oil and gas, Pollution and nuisances, Other measures relating to oil or gas, Monitoring of atmospheric pollution",,,https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31998L0070,,,,"ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION",2015-04-20,2015-04-25,Council of the European Union,2015-05-15,2024-12-31,2017-04-21,,,True,"OJ L 107, 25/04/2015, p. 26–67
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",,
