"Title","Subtitle","CELEX number","Current consolidated version","Latest consolidated version","LP_Legal basis","ELI","Form","EUROVOC descriptor","ECLI identifier","Subject matter","Directory code","Case-Law directory code (before Lisbon)","Case-Law directory code (after Lisbon)","Legal basis","Transposed legal act(s)","Rectified by","Type of procedure","Collection of the document","Date of document","Date of publication","Author","Date of effect","Date of end of validity","Date of transposition","Applicant/Appellant","Defendant/Other parties to the proceedings","In force indicator","Publication Reference",
"Commission Implementing Regulation (EU) 2023/1162 of 6 June 2023 on interoperability requirements and non-discriminatory and transparent procedures for access to metering and consumption data (Text with EEA relevance)","C/2023/3477","32023R1162","","","","http://data.europa.eu/eli/reg_impl/2023/1162/oj","Implementing regulation","smart technology, measuring equipment, administrative transparency, electrical energy, consumer information, data processing, access to information, energy consumption, systems interconnection, technical specification","","Consumer protection, Energy","Environment, consumers and health protection, Energy, Consumers, Electricity, Consumer information, education and representation","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32019L0944","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2023-06-06","2023-06-15","European Commission, Directorate-General for Energy","2023-07-05, 2025-01-05","No end date","","","","true","OJ L 154, 15/06/2023, p. 10–40
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Implementing Regulation (EU) 2023/736 of 31 March 2023 on the definition of the technical details of the application of the market correction mechanism to derivatives linked to virtual trading points in the Union other than the TTF","C/2023/2194","32023R0736","","","","http://data.europa.eu/eli/reg_impl/2023/736/oj","Implementing regulation","natural gas, price formation, energy demand, economy, technical specification, electronic commerce, commodities exchange, price of energy, consumer protection, EU energy policy","","Energy, Prices","Energy, Oil and gas, Supplies and stocks","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32022R2578","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2023-03-31","2023-04-05","Directorate-General for Energy, European Commission","2023-05-01, 2023-04-12","No end date","","","","true","OJ L 96, 05/04/2023, p. 4–8
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Implementing Regulation (EU) 2022/2299 of 15 November 2022 laying down rules for the application of Regulation (EU) 2018/1999 of the European Parliament and of the Council as regards the structure, format, technical details and process for the integrated national energy and climate progress reports","C/2022/8251","32022R2299","","","","http://data.europa.eu/eli/reg_impl/2022/2299/oj","Implementing regulation","application of EU law, greenhouse gas, adaptation to climate change, reduction of gas emissions, EU energy policy, activity report, energy efficiency, technical specification, renewable energy, energy research","","Environment, Energy","Energy, General principles and programmes","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32018R1999","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2022-11-15","2022-11-25","European Commission, Directorate-General for Energy","2022-12-15","No end date","","","","true","OJ L 306, 25/11/2022, p. 1–98
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Implementing Regulation (EU) 2022/2301 of 23 November 2022 setting the filling trajectory with intermediary targets for 2023 for each Member State with underground gas storage facilities on its territory and directly interconnected to its market area (Text with EEA relevance)","C/2022/8593","32022R2301","","","","http://data.europa.eu/eli/reg_impl/2022/2301/oj","Implementing regulation","storage of hydrocarbons, natural gas, energy market, security of supply, EU Member State, EU energy policy, gas supply","","Energy","Energy, Oil and gas, Supplies and stocks","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32017R1938","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2022-11-23","2022-11-25","Directorate-General for Energy, European Commission","2022-11-26","No end date","","","","true","OJ L 305, 25/11/2022, p. 5–8
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Implementing Regulation (EU) 2022/996 of 14 June 2022 on rules to verify sustainability and greenhouse gas emissions saving criteria and low indirect land-use change-risk criteria (Text with EEA relevance)","C/2022/3740","32022R0996","","","","http://data.europa.eu/eli/reg_impl/2022/996/oj","Implementing regulation","energy saving, audit, reduction of gas emissions, bioenergy, greenhouse gas, land use, biomass, renewable energy, biofuel, energy crop","","Environment, Energy","Energy, Environment, consumers and health protection, Other sources of energy, Environment, Space, environment and natural resources","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32018L2001","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2022-06-14","2022-06-27","European Commission, Directorate-General for Energy","2023-12-30, 2022-06-30","No end date","","","","true","OJ L 168, 27/06/2022, p. 1–62
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Implementing Regulation (EU) 2020/2156 of 14 October 2020 detailing the technical modalities for the effective implementation of an optional common Union scheme for rating the smart readiness of buildings (Text with EEA relevance)","C/2020/6929","32020R2156","","","","http://data.europa.eu/eli/reg_impl/2020/2156/oj","Implementing regulation","building regulations, energy saving, environmental standard, energy efficiency, technical specification, energy consumption","","Environment, Energy","Energy, General principles and programmes, Rational utilisation and conservation of energy","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32010L0031","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2020-10-14","2020-12-21","European Commission, Directorate-General for Energy","2021-01-10","No end date","","","","true","OJ L 431, 21/12/2020, p. 25–29
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Implementing Regulation (EU) 2020/1294 of 15 September 2020 on the Union renewable energy financing mechanism (Text with EEA relevance)","C/2020/6123","32020R1294","","","","http://data.europa.eu/eli/reg_impl/2020/1294/oj","Implementing regulation","EU aid, environmental cooperation, EU Member State, renewable energy, EU energy policy, reduction of gas emissions, renewable resources, energy cooperation, EU programme, allocation of resources","","Energy, Environment","Energy, Environment, consumers and health protection, General principles and programmes, Environment, Space, environment and natural resources","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32018R1999","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2020-09-15","2020-09-17","Directorate-General for Energy, European Commission","2020-10-07","No end date","","","","true","OJ L 303, 17/09/2020, p. 1–17
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Implementing Regulation (EU) 2020/1001 of 9 July 2020 laying down detailed rules for the application of Directive 2003/87/EC of the European Parliament and of the Council as regards the operation of the Modernisation Fund supporting investments to modernise the energy systems and to improve energy efficiency of certain Member States","C/2020/4541","32020R1001","","","","http://data.europa.eu/eli/reg_impl/2020/1001/oj","Implementing regulation","fund (EU), energy efficiency, modernisation aid, investment aid, EU Member State, investment, distribution of EU funding, energy cooperation, energy saving","","Energy, Protocol on Ireland/Northern Ireland, Investments, Annex 4 Provisions of Union law referred to in Article 9","Energy, General principles and programmes","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32003L0087","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2020-07-09","2020-07-10","Directorate-General for Climate Action, European Commission","2020-07-30","No end date","","","","true","OJ L 221, 10/07/2020, p. 107–121
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Implementing Regulation (EU) 2019/803 of 17 May 2019 concerning the technical requirements regarding the content of quality reports on European statistics on natural gas and electricity prices pursuant to Regulation (EU) 2016/1952 of the European Parliament and of the Council (Text with EEA relevance.)","C/2019/3642","32019R0803","","","","http://data.europa.eu/eli/reg_impl/2019/803/oj","Implementing regulation","EU statistics, publishing of prices, electrical energy, report, natural gas, technical specification, price of energy, data collection, exchange of information","","Internal market - Principles, Information and verification","Energy, Energy, Energy, Statistics, Oil and gas, Electricity, Other measures relating to oil or gas","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32016R1952","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2019-05-17","2019-05-20","European Commission, Eurostat","2019-06-09","No end date","","","","true","OJ L 132, 20/05/2019, p. 23–27
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Implementing Regulation (EU) 2017/2169 of 21 November 2017 concerning the format and arrangements for the transmission of European Statistics on natural gas and electricity prices pursuant to Regulation (EU) 2016/1952 of the European Parliament and of the Council (Text with EEA relevance. )","C/2017/7667","32017R2169","","","","http://data.europa.eu/eli/reg_impl/2017/2169/oj","Implementing regulation","EU statistics, publishing of prices, electrical energy, natural gas, technical specification, price of energy, data collection, exchange of information","","Information and verification, Internal market - Principles, Energy","Energy, Energy, Energy, Electricity, Oil and gas, Statistics, Other measures relating to oil or gas","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32016R1952","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2017-11-21","2017-11-22","European Commission, Eurostat","2017-12-12","No end date","","","","true","OJ L 306, 22/11/2017, p. 9–18
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
