"Title","Subtitle","CELEX number","Current consolidated version","Latest consolidated version","LP_Legal basis","ELI","Form","EUROVOC descriptor","ECLI identifier","Subject matter","Directory code","Case-Law directory code (before Lisbon)","Case-Law directory code (after Lisbon)","Legal basis","Transposed legal act(s)","Rectified by","Type of procedure","Collection of the document","Date of document","Date of publication","Author","Date of effect","Date of end of validity","Date of transposition","Applicant/Appellant","Defendant/Other parties to the proceedings","In force indicator","Publication Reference",
"Commission Delegated Regulation (EU) 2023/1669 of 16 June 2023 supplementing Regulation (EU) 2017/1369 of the European Parliament and of the Council with regard to the energy labelling of smartphones and slate tablets (Text with EEA relevance)","C/2023/1672","32023R1669","","","","http://data.europa.eu/eli/reg_del/2023/1669/oj","Delegated regulation","labelling, energy consumption, eco-label, energy efficiency, mobile phone, smart technology, energy saving, consumer information, marketing standard, micro-computer","","Technical barriers, Protocol on Ireland/Northern Ireland, Energy, Environment, Annex 2 Provisions of Union law referred to in Article 5(4), Environment, energy efficiency","Industrial policy and internal market, Environment, consumers and health protection, Energy, Internal market: approximation of laws, Consumers, General principles and programmes, Other sectors for approximation of laws, Consumer information, education and representation, Rational utilisation and conservation of energy","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32017R1369","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2023-06-16","2023-08-31","Directorate-General for Internal Market, Industry, Entrepreneurship and SMEs, European Commission","2025-06-20, 2023-09-20","No end date","","","","true","OJ L 214, 31/08/2023, p. 9–46
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Delegated Regulation (EU) 2023/1640 of 5 June 2023 on the methodology to determine the share of biofuel and biogas for transport, produced from biomass being processed with fossil fuels in a common process","C/2023/3513","32023R1640","","","","http://data.europa.eu/eli/reg_del/2023/1640/oj","Delegated regulation","bioenergy, petrochemicals, reduction of gas emissions, biogas, fossil fuel, technical specification, biofuel, biomass","","Environment, Energy, Transport","Environment, consumers and health protection, Energy, Transport policy, Environment, Other sources of energy, General, Space, environment and natural resources","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32018L2001","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2023-06-05","2023-08-18","European Commission, Directorate-General for Energy","2023-09-07","No end date","","","","true","OJ L 205, 18/08/2023, p. 1–6
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Delegated Regulation (EU) 2023/1184 of 10 February 2023 supplementing Directive (EU) 2018/2001 of the European Parliament and of the Council by establishing a Union methodology setting out detailed rules for the production of renewable liquid and gaseous transport fuels of non-biological origin","C/2023/1087","32023R1184","","","","http://data.europa.eu/eli/reg_del/2023/1184/oj","Delegated regulation","motor fuel, hydrogen production, hydrogen, substitute fuel, electrical energy, renewable resources, electrical process, renewable energy, energy efficiency, energy production","","Environment, Energy, Transport","Environment, consumers and health protection, Energy, Transport policy, Environment, Other sources of energy, General, Space, environment and natural resources","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32018L2001","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2023-02-10","2023-06-20","European Commission, Directorate-General for Energy","2023-07-10","No end date","","","","true","OJ L 157, 20/06/2023, p. 11–19
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Delegated Regulation (EU) 2022/2202 of 29 August 2022 supplementing Regulation (EU) 2021/1153 of the European Parliament and of the Council by establishing a list of selected cross-border projects in the field of renewable energy (Text with EEA relevance)","C/2022/6028","32022R2202","","","","http://data.europa.eu/eli/reg_del/2022/2202/oj","Delegated regulation","heating, renewable energy, energy efficiency, EU financial instrument, clean technology, wind energy, marine energy, hydrogen production, electrical energy, cross-border cooperation","","Energy","Energy, Energy, General principles and programmes, Other sources of energy, Rational utilisation and conservation of energy","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32021R1153","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2022-08-29","2022-11-14","Directorate-General for Energy, European Commission","2022-11-17","No end date","","","","true","OJ L 293, 14/11/2022, p. 1–2
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Delegated Regulation (EU) 2022/342 of 21 December 2021 supplementing Regulation (EU) 2021/1153 of the European Parliament and of the Council with regard to the specific selection criteria and the details of the process for selecting cross-border projects in the field of renewable energy","C/2021/9875","32022R0342","","","","http://data.europa.eu/eli/reg_del/2022/342/oj","Delegated regulation","technology, energy cooperation, cross-border cooperation, EU energy policy, eligibility criteria, carbon neutrality, energy production, security of supply, innovation, renewable energy","","Trans-European networks, Energy","Energy, Industrial policy and internal market, Other sources of energy, Trans-European networks","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32021R1153","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2021-12-21","2022-03-01","European Commission, Directorate-General for Energy","2022-03-04","No end date","","","","true","OJ L 62, 01/03/2022, p. 1–8
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Delegated Regulation (EU) 2021/2003 of 6 August 2021 supplementing Directive (EU) 2018/2001 of the European Parliament and of the Council by establishing the Union renewable development platform (Text with EEA relevance)","C/2021/5752","32021R2003","","","","http://data.europa.eu/eli/reg_del/2021/2003/oj","Delegated regulation","information system, energy statistics, energy cooperation, EU energy policy, energy efficiency, renewable energy, EU Member State, energy consumption","","Energy","Energy, Other sources of energy","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32018L2001","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2021-08-06","2021-11-17","European Commission, Directorate-General for Energy","2021-11-20","No end date","","","","true","OJ L 407, 17/11/2021, p. 4–8
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, GA, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Delegated Regulation (EU) 2020/2155 of 14 October 2020 supplementing Directive (EU) 2010/31/EU of the European Parliament and of the Council by establishing an optional common European Union scheme for rating the smart readiness of buildings (Text with EEA relevance)","C/2020/6930","32020R2155","","","","http://data.europa.eu/eli/reg_del/2020/2155/oj","Delegated regulation","environmental standard, energy saving, building regulations, energy consumption, technical regulations, energy efficiency","","Environment, Energy","Energy, General principles and programmes, Rational utilisation and conservation of energy","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32010L0031","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2020-10-14","2020-12-21","European Commission, Directorate-General for Energy","2021-01-10","No end date","","","","true","OJ L 431, 21/12/2020, p. 9–24
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Delegated Regulation (EU) 2019/2016 of 11 March 2019 supplementing Regulation (EU) 2017/1369 of the European Parliament and of the Council with regard to energy labelling of refrigerating appliances and repealing Commission Delegated Regulation (EU) No 1060/2010 (Text with EEA relevance.)","C/2019/1806","32019R2016","2021-05-01","2021-05-01","","http://data.europa.eu/eli/reg_del/2019/2016/oj","Delegated regulation","consumer information, marketing standard, household electrical appliance, energy saving, cold store, environmental impact, eco-label, labelling, energy efficiency, energy consumption","","Energy, Protocol on Ireland/Northern Ireland, Internal market - Principles, Annex 2 Provisions of Union law referred to in Article 5(4), Environment, energy efficiency","Industrial policy and internal market, Energy, Internal market: approximation of laws, General principles and programmes, Other sectors for approximation of laws, Rational utilisation and conservation of energy","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32017R1369","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2019-03-11","2019-12-05","European Commission, Directorate-General for Energy","2019-12-25, 2022-03-01, 2021-03-01, 2020-11-01","No end date","","","","true","OJ L 315, 05/12/2019, p. 102–133
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Delegated Regulation (EU) 2019/2014 of 11 March 2019 supplementing Regulation (EU) 2017/1369 of the European Parliament and of the Council with regard to energy labelling of household washing machines and household washer-dryers and repealing Commission Delegated Regulation (EU) No 1061/2010 and Commission Directive 96/60/EC (Text with EEA relevance.)","C/2019/1804","32019R2014","2021-05-01","2021-05-01","","http://data.europa.eu/eli/reg_del/2019/2014/oj","Delegated regulation","marketing standard, household electrical appliance, consumer information, energy saving, environmental impact, eco-label, labelling, energy efficiency, energy consumption","","Energy, Protocol on Ireland/Northern Ireland, Internal market - Principles, Annex 2 Provisions of Union law referred to in Article 5(4), Environment, energy efficiency","Industrial policy and internal market, Energy, Internal market: approximation of laws, General principles and programmes, Other sectors for approximation of laws, Rational utilisation and conservation of energy","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32017R1369","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2019-03-11","2019-12-05","European Commission, Directorate-General for Energy","2019-12-25, 2021-03-01, 2020-11-01","No end date","","","","true","OJ L 315, 05/12/2019, p. 29–67
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Delegated Regulation (EU) 2019/2018 of 11 March 2019 supplementing Regulation (EU) 2017/1369 of the European Parliament and of the Council with regard to energy labelling of refrigerating appliances with a direct sales function (Text with EEA relevance.)","C/2019/1815","32019R2018","2021-05-01","2021-05-01","","http://data.europa.eu/eli/reg_del/2019/2018/oj","Delegated regulation","energy saving, cold store, environmental impact, marketing standard, consumer information, labelling, eco-label, energy consumption, energy efficiency","","Protocol on Ireland/Northern Ireland, Energy, Internal market - Principles, Annex 2 Provisions of Union law referred to in Article 5(4), Environment, energy efficiency","Industrial policy and internal market, Energy, Internal market: approximation of laws, General principles and programmes, Other sectors for approximation of laws, Rational utilisation and conservation of energy","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32017R1369","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2019-03-11","2019-12-05","European Commission, Directorate-General for Energy","2019-12-25, 2022-03-01, 2021-03-01","No end date","","","","true","OJ L 315, 05/12/2019, p. 155–186
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
