"Title","Subtitle","CELEX number","Current consolidated version","Latest consolidated version","LP_Legal basis","ELI","Form","EUROVOC descriptor","ECLI identifier","Subject matter","Directory code","Case-Law directory code (before Lisbon)","Case-Law directory code (after Lisbon)","Legal basis","Transposed legal act(s)","Rectified by","Type of procedure","Collection of the document","Date of document","Date of publication","Author","Date of effect","Date of end of validity","Date of transposition","Applicant/Appellant","Defendant/Other parties to the proceedings","In force indicator","Publication Reference",
"Commission Opinion of 6 June 2017 relating to the modified plan for the disposal of radioactive waste arising from the Comurhex II site located at Malvési in France, in accordance with Article 37 of the Euratom Treaty","C/2017/3690","32017A0608(01)","","","","","Opinion","radioactive waste, radioactive pollution, public health, storage of waste, radioactive materials, nuclear safety, waste disposal","","Nuclear common market, Safety at work and elsewhere","Energy, Environment, consumers and health protection, Nuclear energy, Environment, Safeguards, Pollution and nuisances, Nuclear safety and radioactive waste","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12016A037","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2017-06-06","2017-06-08","European Commission, Directorate-General for Energy","2017-06-06","No end date","","","","true","OJ C 180, 08/06/2017, p. 1–2
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Opinion of 4 December 2015 relating to the plan for the disposal of radioactive waste arising from the decommissioning and the dismantling of the La Hague UP2-400 Reprocessing Plant, located in France","","32015A1205(01)","","","","","Opinion","public health, France, radioactive pollution, radioactive waste, waste disposal, nuclear safety, storage of waste, radioactive materials","","Nuclear common market, Safety at work and elsewhere","Energy, Environment, consumers and health protection, Nuclear energy, Environment, Safeguards, Pollution and nuisances, Nuclear safety and radioactive waste","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12012A037","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2015-12-04","2015-12-05","European Commission","2015-12-04","No end date","","","","true","OJ C 405, 05/12/2015, p. 1–2
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Opinion of 26 February 2015 relating to the plan for the disposal of radioactive waste arising from the European Spallation Source Facility (Linear Accelerator), located at Lund in Sweden","","32015A0228(01)","","","","","Opinion","nuclear safety, Sweden, nuclear fission, Denmark, internal border of the EU, radioactive waste","","Safety at work and elsewhere","Energy, Nuclear energy, Safeguards","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12012A037","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2015-02-26","2015-02-28","European Commission","2015-02-26","No end date","","","","true","OJ C 72, 28/02/2015, p. 1–2
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Opinion of 30 October 2014 relating to the plan for the disposal of radioactive waste arising from the clean-out and partial dismantling as well as the partial reallocation into a temporary storage facility of the Sellafield MOX Plant in the United Kingdom","","32014A1122(01)","","","","","Opinion","nuclear safety, United Kingdom, decommissioning of power stations, nuclear fuel, radioactive waste","","Nuclear common market, Safety at work and elsewhere","Energy, Nuclear energy, Safeguards","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12012A037","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2014-10-30","2014-11-22","European Commission","2014-10-30","No end date","","","","true","OJ C 420, 22/11/2014, p. 1–2
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Opinion of 21 December 2011 relating to the plan for the disposal of radioactive waste arising from the New Low-level Waste Facilities, located adjacent to the Dounreay nuclear licensed site in Scotland, United Kingdom, in accordance with Article 37 of the Euratom Treaty","","32011A1222(02)","","","","","Opinion","nuclear safety, United Kingdom, Scotland, public health, environmental protection, radioactive waste","","Nuclear common market, Safety at work and elsewhere","Environment, consumers and health protection, Energy, Environment, Nuclear energy, Pollution and nuisances, Nuclear safety and radioactive waste","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12010A037","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2011-12-21","2011-12-22","European Commission","","No end date","","","","true","OJ C 374, 22/12/2011, p. 3–4
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Opinion of 21 December 2011 relating to the plan for the disposal of radioactive waste arising from the Penly EPR reactor (unit 3), located in France, in accordance with Article 37 of the Euratom Treaty","","32011A1222(01)","","","","","Opinion","public health, environmental protection, radioactive waste, France, nuclear safety","","Safety at work and elsewhere, Nuclear common market","Environment, consumers and health protection, Energy, Environment, Nuclear energy, Pollution and nuisances, Nuclear safety and radioactive waste","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12010A037","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2011-12-21","2011-12-22","European Commission","","No end date","","","","true","OJ C 374, 22/12/2011, p. 1–2
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Opinion of 21 December 2010 relating to the plan for the disposal of radioactive waste arising from the Buffer Store for very low-level radioactive waste, located on the Ignalina Nuclear Power Plant site in Lithuania, in accordance with Article 37 of the Euratom Treaty","","32010A1222(01)","","","","","Opinion","health risk, environmental risk prevention, Lithuania, nuclear industry, storage of waste, public health, radioactive pollution, waste management, environmental standard, radioactive waste","","Nuclear common market","Energy, Nuclear energy, Safeguards","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957A037","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2010-12-21","2010-12-22","European Commission","","No end date","","","","true","OJ C 349, 22/12/2010, p. 1–2
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Opinion of 27 September 2010 relating to the plan for the disposal of radioactive waste arising from the decommissioning and dismantling of the FRM Research Reactor, located at Garching in the Federal Republic of Germany, in accordance with Article 37 of the Euratom Treaty","","32010A0928(01)","","","","","Opinion","health risk, Germany, storage of waste, public health, radioactive effluent, radioactive waste, waste management, radioactive pollution","","Nuclear common market","Energy, Nuclear energy, Safeguards","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12010A037","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2010-09-27","2010-09-28","European Commission","","No end date","","","","true","OJ C 261, 28/09/2010, p. 1–2
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Opinion of 28 July 2010 relating to the plan for the disposal of radioactive waste arising from the Olkiluoto EPR reactor (unit 3), located in Finland, in accordance with Article 37 of the Euratom Treaty","","32010A0804(01)","","","","","Opinion","public health, radioactive pollution, waste management, radioactive waste, radioactive effluent, health risk, storage of waste, Finland","","Nuclear common market","Energy, Nuclear energy, Safeguards","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12010A037","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2010-07-28","2010-08-04","European Commission","","No end date","","","","true","OJ C 211, 04/08/2010, p. 1–2
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Opinion of 14 April 2010 relating to the modified plan for the disposal of radioactive waste arising from Building 443.26 operated by General Electric Healthcare Ltd (formerly Amersham plc) at the Harwell International Business Centre in the United Kingdom, in accordance with Article 37 of the Euratom Treaty","","32010A0415(01)","","","","","Opinion","radioactive pollution, radioactivity, public health, EC opinion, United Kingdom","","Nuclear common market","Energy, Nuclear energy, Safeguards","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12010A037","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2010-04-14","2010-04-15","European Commission","","No end date","","","","true","OJ C 95, 15/04/2010, p. 1–1
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Opinion of 13 April 2010 relating to the plan for the disposal of radioactive waste arising from Quotient Bioresearch (Radiochemicals) Ltd at Trident Park in Cardiff in the United Kingdom, in accordance with Article 37 of the Euratom Treaty","","32010A0414(01)","","","","","Opinion","radioactive effluent, radioactive waste, waste management, radioactive pollution, storage of waste, United Kingdom, health risk","","Nuclear common market","Energy, Nuclear energy, Safeguards","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12010A037","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2010-04-13","2010-04-14","European Commission","","No end date","","","","true","OJ C 94, 14/04/2010, p. 1–1
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Opinion of 19 March 2010 relating to the plan to modify the disposal of radioactive waste arising from the Magnox Fuel Handling Plant, established at the Sellafield site in the United Kingdom, in accordance with Article 37 of the Euratom Treaty","","32010A0320(01)","","","","","Opinion","radioactive pollution, radioactive effluent, power plant, United Kingdom, health risk","","Nuclear common market","Energy, Nuclear energy, Safeguards","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957A037","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2010-03-19","2010-03-20","European Commission","","No end date","","","","true","OJ C 72, 20/03/2010, p. 1–1
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Opinion of 14 January 2010 relating to the plan for the disposal of radioactive waste arising from the Conditioning and Storage Facility for Activated Waste ICEDA, located on the Bugey site in France, in accordance with Article 37 of the Euratom Treaty","","32010A0318(01)","","","","","Opinion","storage of waste, health risk, France, radioactive pollution, waste management, radioactive waste, radioactive effluent, public health","","Nuclear common market","Energy, Nuclear energy, Safeguards","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957A037","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2010-01-14","2010-03-18","European Commission","","No end date","","","","true","OJ C 67, 18/03/2010, p. 1–1
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Opinion of 6 June 2009 relating to the plan for the disposal of radioactive waste arising from the dismantling of the José Cabrera Nuclear Power Station, located in Spain, in accordance with Article 37 of the Euratom Treaty","","32009A0707(01)","","","","","Opinion","project evaluation, public health, nuclear power station, radioactive pollution, waste management, radioactive effluent, radioactive waste, Spain, EAEC","","Nuclear common market","Energy, Nuclear energy, Safeguards","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957A037","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2009-06-06","2009-07-07","European Commission","","No end date","","","","true","OJ C 154, 07/07/2009, p. 1–1
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
