"Title","Subtitle","CELEX number","Current consolidated version","Latest consolidated version","LP_Legal basis","ELI","Form","EUROVOC descriptor","ECLI identifier","Subject matter","Directory code","Case-Law directory code (before Lisbon)","Case-Law directory code (after Lisbon)","Legal basis","Transposed legal act(s)","Rectified by","Type of procedure","Collection of the document","Date of document","Date of publication","Author","Date of effect","Date of end of validity","Date of transposition","Applicant/Appellant","Defendant/Other parties to the proceedings","In force indicator","Publication Reference",
"2014/761/EU: Commission Recommendation of 29 October 2014 on the application of internal energy market rules between the EU Member States and the Energy Community Contracting Parties","","32014H0761","","","","http://data.europa.eu/eli/reco/2014/761/oj","Recommendation","security of supply, energy grid, gas, trans-European network, electricity supply, energy cooperation, domestic market, cross-border cooperation","","Energy, Internal market - Principles","Industrial policy and internal market, Energy, Internal market: approximation of laws, Electricity, Other sectors for approximation of laws","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12012E292","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2014-10-29","2014-10-31","European Commission","2014-11-20","No end date","","","","true","OJ L 311, 31/10/2014, p. 82–84
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"2014/724/EU: Commission Recommendation of 10 October 2014 on the Data Protection Impact Assessment Template for Smart Grid and Smart Metering Systems","","32014H0724","","","","http://data.europa.eu/eli/reco/2014/724/oj","Recommendation","energy grid, energy consumption, electronic device, personal data, disclosure of information, measuring equipment, data protection, impact study","","Energy, Information and verification","Energy, General principles and programmes","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12012E292","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2014-10-10","2014-10-18","European Commission","2014-11-07","No end date","","","","true","OJ L 300, 18/10/2014, p. 63–68
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"2014/70/EU: Commission Recommendation of 22 January 2014 on minimum principles for the exploration and production of hydrocarbons (such as shale gas) using high-volume hydraulic fracturing","","32014H0070","","","","http://data.europa.eu/eli/reco/2014/70/oj","Recommendation","pollution control, gas, health control, gas industry, environmental impact, mining extraction, oil pollution, energy production","","Energy","Energy, Oil and gas, Other measures relating to oil or gas","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12012E292","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2014-01-22","2014-02-08","European Commission","2014-02-28","No end date","","","","true","OJ L 39, 08/02/2014, p. 72–78
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, HR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"2012/148/EU: Commission Recommendation of 9 March 2012 on preparations for the roll-out of smart metering systems","","32012H0148","","","","http://data.europa.eu/eli/reco/2012/148/oj","Recommendation","energy consumption, cost-benefit analysis, personal data, measuring equipment, electrical energy, data protection, transmission network","","Energy, Internal market - Principles","Energy, General principles and programmes, General","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12010E292","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2012-03-09","2012-03-13","European Commission","2012-03-09","No end date","","","","true","OJ L 73, 13/03/2012, p. 9–22
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"2010/635/Euratom: Commission Recommendation of 11 October 2010 on the application of Article 37 of the Euratom Treaty","","32010H0635","","","","http://data.europa.eu/eli/reco/2010/635/oj","Recommendation","waste management, radioactive effluent, nuclear power station, health risk, EAEC Treaty, radioactive pollution, environmental protection, public health, nuclear safety, report","","Nuclear common market, Public health, Environment","Energy, Environment, consumers and health protection, Nuclear energy, Environment, Safeguards, Pollution and nuisances, Nuclear safety and radioactive waste","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957A037, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12010E292","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2010-10-11","2010-10-23","European Commission","2010-10-11","No end date","","","","true","OJ L 279, 23/10/2010, p. 36–67
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Recommendation of 11 February 2009 on the implementation of a nuclear material accountancy and control system by operators of nuclear installations (notified under document number C(2009) 785)","","32009H0120","","","","http://data.europa.eu/eli/reco/2009/120/oj","Recommendation","mining extraction, EAEC, fact-finding mission, EU action, accounting, data processing, nuclear fuel, quality control of industrial products","","Nuclear common market, Environment","Energy, Nuclear energy, Safeguards","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957A124, https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957A077","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2009-02-11","2009-02-12","European Commission","2009-02-12","No end date","","","","true","OJ L 41, 12/02/2009, p. 17–23
		 (BG, ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, MT, NL, PL, PT, RO, SK, SL, FI, SV)",
"Commission Recommendation of  15 December 2005  on guidelines for the application of Regulation (Euratom) No 302/2005 on the application of Euratom safeguards  (notified under document number C(2005) 5127)","","32006H0040","","","","http://data.europa.eu/eli/reco/2006/40/oj","Recommendation","application of EU law, nuclear safety, EAEC","","Environment, Nuclear common market","Energy, Nuclear energy, Safeguards","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:32005R0302","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2005-12-15","2006-02-01","European Commission","2005-12-15","No end date","","","","true","OJ L 28, 01/02/2006, p. 1–85
		 (ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, NL, PL, PT, SK, SL, FI, SV)",
"Commission Recommendation of  7 December 2005  on the release of security oil stocks following the supply disruption caused by Hurricane Katrina  (notified under document number C(2005) 4655)","","32005H0885","","","","http://data.europa.eu/eli/reco/2005/885/oj","Recommendation","natural disaster, petroleum product, energy supply, energy storage, United States, petroleum, security of supply","","Conjunctural policy, Energy","Energy, Oil and gas, Supplies and stocks","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:12002E221","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","2005-12-07","2005-12-13","European Commission","","No end date","","","","true","OJ L 326, 13/12/2005, p. 37–38
		 (ES, CS, DA, DE, ET, EL, EN, FR, IT, LV, LT, HU, NL, PL, PT, SK, SL, FI, SV)",
"1999/28/EC: Commission Recommendation of 14 December 1998 concerning the improvement of authorisation procedures for trans-European energy networks (notified under document number C(1998) 4063) (Text with EEA relevance)","","31999H0028","","","","http://data.europa.eu/eli/reco/1999/28/oj","Recommendation","trans-European network, energy grid, trade licence","","Trans-European networks, Energy","Industrial policy and internal market, Energy, Trans-European networks, General principles and programmes, General","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:31996D0391","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","1998-12-14","1999-01-14","European Commission","1998-12-18","No end date","","","","true","OJ L 8, 14/01/1999, p. 27–28
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT, FI, SV)",
"94/956/Euratom: Commission Recommendation of 21 December 1994 on the application of Euratom safeguards in Spain (Only the Spanish text is authentic)","","31994H0956","","","","http://data.europa.eu/eli/reco/1994/956/oj","Recommendation","exchange of information, Spain, nuclear safety, EAEC Treaty, higher education, nuclear power station","","Nuclear common market, Safety at work and elsewhere","Energy, Nuclear energy, Safeguards","","","https://eur-lex.europa.eu/legal-content/AUTO/?uri=CELEX:11957A083","","","","ALL_ALL, PUBLISHED_IN_OJ, EU_LAW_ALL, LEGISLATION","1994-12-21","1994-12-31","European Commission","1994-12-27","No end date","","","","true","OJ L 371, 31/12/1994, p. 18–18
		 (ES, DA, DE, EL, EN, FR, IT, NL, PT)",
